county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,205.91,High,2022-08-18
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,206.92,High,2022-08-18
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.0,14.8,190.22,Medium,2022-08-18
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,188.49,Medium,2022-08-18
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.4,23.6,252.59,High,2022-08-18
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,9.4,201.46,Medium,2022-08-18
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,190.31,Medium,2022-08-18
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,9.4,182.33,Low,2022-08-18
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.9,10.8,170.38,Medium,2022-08-18
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.1,0.0,234.07,Medium,2022-08-18
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,225.91,High,2022-08-18
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.9,9.8,238.96,Medium,2022-08-18
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,212.71,High,2022-08-18
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.5,9.4,210.23,Medium,2022-08-18
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.9,10.8,167.99,Medium,2022-08-18
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,10.9,194.13,Medium,2022-08-18
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,27.3,272.71,High,2022-08-11
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,10.0,176.09,Medium,2022-08-11
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,16.5,234.00,High,2022-08-11
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,17.5,203.57,High,2022-08-11
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,10.0,164.34,Medium,2022-08-11
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.6,0.0,306.30,Medium,2022-08-11
