Facility Name,Facility Address,County,Phone Number for Appointments + Questions,Facility Website
Atlanticare Health Services FQHC,"1401 Atlantic Avenue, Suite 2800
Atlantic City, NJ 08401",Atlantic,(609) 572-6040,null
Atlantic County Health Department,Atlantic Cape Community College,Atlantic,(609) 645-5933,atlantic-county.org/covid/covid-vaccinations.asp
"MediLink RxCare Hammonton, LLC","44 South White Horse Pike
Hammonton, NJ 08037",Atlantic,(609) 956-1900,medilinkrxcare.com
ShopRite Pharmacy #612,"23 Bethel Road,
Somers Point, NJ 08244",Atlantic,null,vaccines.shoprite.com
ShopRite Pharmacy #633,"616 White Horse Pike,
Absecon, NJ 08201",Atlantic,null,vaccines.shoprite.com
Southern Jersey Family Medical Centers Atlantic City Center,"1301 Atlantic Avenue Atlantic City, NJ 08401",Atlantic,(609) 572-0000,null
Southern Jersey Family Medical Centers English Creek,"3003 English Crrek Avenue, Unit C6 Egg Harbor Township, NJ 08234",Atlantic,(609) 481-3185,null
Southern Jersey Family Medical Centers Hammonton Center,"860 S. White Horse Pike Hammonton, NJ 08037-2018",Atlantic,(609) 567-0200,null
Southern Jersey Family Medical Centers Merle Pavilion (formerly 
Pleasantville Center),"932 South Main Street Pleasantville, NJ 08232-3646",Atlantic,(609) 383-0880,null
Bergen County,"Bergen New Bridge Medical Center Annex Alternate Care Facility 230 East 
Ridgewood Avenue Paramus, NJ07652",Bergen,null,BergenCOVIDvaccine.com
Hackensack Meridian Health System,Multiple Locations,Bergen,null,hackensackmeridianhealth.org/covid19/hmh-covid-vaccine-first-responders/
Paramus Board of Health,null,Bergen,(201) 265-2100,paramusborough.org/
ShopRite Pharmacy #169,40 Nathaniel Place
Englewood NJ 07631,Bergen,null,vaccines.shoprite.com
ShopRite Pharmacy of Rochelle Park,"220 West Passaic St. Rochelle Park, NJ 07662",Bergen,null,vaccines.shoprite.com
Haworth Apothecary,"169 Terrace Street 
Haworth, NJ 07641",Bergen,(201) 384-7171,https://haworthapothecary.com/covid-19-vaccine
Boyd’s Pharmacy of Mansfield,"23202 Columbus Road, Suite E
Columbus, NJ 08022",Burlington,(609) 298-7474,www.boydsrxs.com
Boyd's Pharmacy of Medford,"5-100 Wilkins Station Road
Medford, NJ 08055",Burlington,(609) 975-8197,www.boydsrxs.com
Boyd’s Pharmacy of Pemberton,"17 Fort Dix Road
Pemberton, NJ 08068",Burlington,(609) 894-8288,www.boydsrxs.com
