"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,34003,905116,970918,"New Jersey","NJ",0.07270007380269483,"Bergen County","Bergen County","bergen-county-nj",233,4167.030042918455,0.10287186126912852,1,4167.030042918455,233
2023,34013,783969,887656,"New Jersey","NJ",0.13225905616165945,"Essex County","Essex County","essex-county-nj",126,7044.888888888889,0.09404998659692121,2,7044.888888888889,126
2023,34023,809858,879152,"New Jersey","NJ",0.08556314810744592,"Middlesex County","Middlesex County","middlesex-county-nj",309,2845.1521035598707,0.09314896065216309,3,2845.1521035598707,309
2023,34017,634266,752031,"New Jersey","NJ",0.18567131140562476,"Hudson County","Hudson County","hudson-county-nj",46,16348.5,0.0796800849320787,4,16348.5,46
2023,34029,576567,655427,"New Jersey","NJ",0.13677508424866502,"Ocean County","Ocean County","ocean-county-nj",629,1042.014308426073,0.06944458277222289,5,1042.014308426073,629
2023,34025,630380,647587,"New Jersey","NJ",0.027296234017576637,"Monmouth County","Monmouth County","monmouth-county-nj",468,1383.732905982906,0.06861390974695199,6,1383.732905982906,468
2023,34039,536499,587000,"New Jersey","NJ",0.09413065075610572,"Union County","Union County","union-county-nj",103,5699.0291262135925,0.06219452370331835,7,5699.0291262135925,103
2023,34031,501226,530985,"New Jersey","NJ",0.059372418829031215,"Passaic County","Passaic County","passaic-county-nj",186,2854.7580645161293,0.05625955565350339,8,2854.7580645161293,186
2023,34007,513657,526434,"New Jersey","NJ",0.02487457583562569,"Camden County","Camden County","camden-county-nj",221,2382.054298642534,0.05577736267671668,9,2382.054298642534,221
2023,34027,492276,514388,"New Jersey","NJ",0.04491789158927095,"Morris County","Morris County","morris-county-nj",460,1118.2347826086957,0.05450105052589867,10,1118.2347826086957,460
2023,34005,448734,465799,"New Jersey","NJ",0.03802921106936408,"Burlington County","Burlington County","burlington-county-nj",799,582.9774718397997,0.04935289087986709,11,582.9774718397997,799
2023,34021,366513,393589,"New Jersey","NJ",0.07387459653545703,"Mercer County","Mercer County","mercer-county-nj",225,1749.2844444444445,0.04170201088563095,12,1749.2844444444445,225
2023,34035,323444,351937,"New Jersey","NJ",0.08809252915496968,"Somerset County","Somerset County","somerset-county-nj",302,1165.3543046357615,0.03728884853249531,13,1165.3543046357615,302
2023,34015,288288,306497,"New Jersey","NJ",0.06316253191253196,"Gloucester County","Gloucester County","gloucester-county-nj",322,951.8540372670808,0.03247433548806808,14,951.8540372670808,322
2023,34001,274549,274528,"New Jersey","NJ",-0.00007648907845225761,"Atlantic County","Atlantic County","atlantic-county-nj",556,493.75539568345323,0.029087117893057204,15,493.75539568345323,556
2023,34011,156898,153327,"New Jersey","NJ",-0.022760009687822658,"Cumberland County","Cumberland County","cumberland-county-nj",484,316.7913223140496,0.01624548506960595,16,316.7913223140496,484
2023,34037,149265,142709,"New Jersey","NJ",-0.043921883897765746,"Sussex County","Sussex County","sussex-county-nj",518,275.5,0.01512047407696228,17,275.5,518
2023,34019,128349,129127,"New Jersey","NJ",0.00606159767508907,"Hunterdon County","Hunterdon County","hunterdon-county-nj",428,301.6985981308411,0.013681417823234052,18,301.6985981308411,428
2023,34041,108692,109914,"New Jersey","NJ",0.011242777757332734,"Warren County","Warren County","warren-county-nj",357,307.88235294117646,0.011645739145360363,19,307.88235294117646,357
2023,34009,97265,94663,"New Jersey","NJ",-0.026751657841978083,"Cape May County","Cape May County","cape-may-county-nj",251,377.1434262948207,0.010029847014186072,20,377.1434262948207,251
2023,34033,66083,64462,"New Jersey","NJ",-0.024529758031566318,"Salem County","Salem County","salem-county-nj",332,194.16265060240963,0.0068299546626291435,21,194.16265060240963,332
